name,is-currently-bowling,matched,Percentage match,matched-with,closest-matches
unadkat,1,algo,1.0,jaydev-unadkat,
unadkat,0,algo,1.0,jaydev-unadkat,
unadkat,1,algo,1.0,jaydev-unadkat,
thakur,0,algo,1.0,shardul-thakur,
smith,0,algo,1.0,steven-smith,
zampa,1,algo,1.0,adam-zampa,
thakur,0,algo,1.0,shardul-thakur,
christian,1,algo,1.0,dan-christian,
rahane,0,algo,1.0,ajinkya-rahane,
zampa,1,algo,1.0,adam-zampa,
tiwary,0,algo,1.0,manoj-tiwary,
christian,1,algo,1.0,dan-christian,
christian,0,algo,1.0,dan-christian,
thakur,0,algo,1.0,shardul-thakur,
johnson,1,algo,1.0,mitchell-johnson,
pollard,0,algo,1.0,kieron-pollard,
bumrah,1,algo,1.0,jasprit-bumrah,
johnson,1,algo,1.0,mitchell-johnson,
rayudu,0,algo,1.0,ambati-rayudu,
bumrah,1,algo,1.0,jasprit-bumrah,
patel,0,algo,1.0,parthiv-patel,
johnson,1,algo,1.0,mitchell-johnson,
pollard,0,algo,1.0,kieron-pollard,
bumrah,1,algo,1.0,jasprit-bumrah,
pollard,0,algo,1.0,kieron-pollard,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
hh,0,list,1,hardik-pandya,
bumrah,1,algo,1.0,jasprit-bumrah,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
johnson,0,algo,1.0,mitchell-johnson,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
bumrah,1,algo,1.0,jasprit-bumrah,
malinga,0,algo,1.0,lasith-malinga,
johnson,1,algo,1.0,mitchell-johnson,
rayudu,0,algo,1.0,ambati-rayudu,
johnson,1,algo,1.0,mitchell-johnson,
hh,0,list,1,hardik-pandya,
malinga,1,algo,1.0,lasith-malinga,
chawla,1,algo,1.0,piyush-chawla,
ut-yadav,1,algo,0.6428571428571428,umesh-yadav,
uthappa,0,algo,1.0,robin-uthappa,
chawla,1,algo,1.0,piyush-chawla,
coulter-nile,1,algo,1.0,nathan-coulter-nile,
rajpoot,0,algo,1.0,ankit-rajpoot,
chawla,1,algo,1.0,piyush-chawla,
ut-yadav,1,algo,0.6428571428571428,umesh-yadav,
uthappa,0,algo,1.0,robin-uthappa,
coulter-nile,1,algo,1.0,nathan-coulter-nile,
sa,0,algo,0.5,ishank-jaggi,
ut-yadav,1,algo,0.6428571428571428,umesh-yadav,
chawla,0,algo,1.0,piyush-chawla,
coulter-nile,1,algo,1.0,nathan-coulter-nile,
sa,0,algo,0.5,ishank-jaggi,
boult,1,algo,1.0,trent-boult,
lynn,0,algo,1.0,chris-lynn,
coulter-nile,1,algo,1.0,nathan-coulter-nile,
coulter,0,algo,1.0,nathan-coulter-nile,
jordan,1,algo,1.0,chris-jordan,
dhawan,0,algo,1.0,shikhar-dhawan,
kumar,1,algo,1.0,bhuvneshwar-kumar,
ojha,0,algo,1.0,naman-ojha,
kumar,0,algo,1.0,bhuvneshwar-kumar,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
mcclenaghan,1,algo,1.0,mitchell-mcclenaghan,
malinga,1,algo,1.0,lasith-malinga,
hh,0,list,1,hardik-pandya,
bumrah,0,algo,1.0,jasprit-bumrah,
thakur,0,algo,1.0,shardul-thakur,
thakur,1,algo,1.0,shardul-thakur,
christian,0,algo,1.0,dan-christian,
washington-sundar,1,algo,1.0,washington-sundar,
washington-sundar,1,algo,1.0,washington-sundar,
smith,0,algo,1.0,steven-smith,
washington-sundar,1,algo,1.0,washington-sundar,
smith,0,algo,1.0,steven-smith,
ferguson,1,algo,1.0,lockie-ferguson,
christian,0,algo,1.0,dan-christian,
thakur,1,algo,1.0,shardul-thakur,
christian,0,algo,1.0,dan-christian,
thakur,1,algo,1.0,shardul-thakur,
unadkat,0,algo,1.0,jaydev-unadkat,
unadkat,1,algo,1.0,jaydev-unadkat,
dhoni,0,algo,1.0,ms-dhoni,
nadeem,1,algo,1.0,shahbaz-nadeem,
khan,0,algo,1.0,zaheer-khan,
cummins,1,algo,1.0,pat-cummins,
khan,1,algo,1.0,zaheer-khan,
nadeem,0,algo,1.0,shahbaz-nadeem,
iyer,0,algo,1.0,shreyas-iyer,
khan,0,algo,1.0,zaheer-khan,
cummins,0,algo,1.0,pat-cummins,
cummins,1,algo,1.0,pat-cummins,
anderson,0,algo,1.0,corey-anderson,
avesh-khan,1,algo,1.0,avesh-khan,
kohli,0,algo,1.0,virat-kohli,
watson,1,algo,1.0,shane-watson,
jadhav,0,algo,1.0,kedar-jadhav,
patel,1,algo,1.0,harshal-patel,
watson,0,algo,1.0,shane-watson,
patel,1,algo,1.0,harshal-patel,
patel,1,algo,1.0,harshal-patel,
head,1,algo,1.0,travis-head,
head,1,algo,1.0,travis-head,
kohli,0,algo,1.0,virat-kohli,
negi,1,algo,1.0,pawan-negi,
negi,1,algo,1.0,pawan-negi,
negi,1,algo,1.0,pawan-negi,
jadhav,0,algo,1.0,kedar-jadhav,
unadkat,1,algo,1.0,jaydev-unadkat,
tiwary,0,algo,1.0,manoj-tiwary,
christian,1,algo,1.0,dan-christian,
dhoni,0,algo,1.0,ms-dhoni,
thakur,1,algo,1.0,shardul-thakur,
smith,0,algo,1.0,steven-smith,
unadkat,0,algo,1.0,jaydev-unadkat,
thakur,1,algo,1.0,shardul-thakur,
unadkat,0,algo,1.0,jaydev-unadkat,
thakur,1,algo,1.0,shardul-thakur,
rahane,0,algo,1.0,ajinkya-rahane,
christian,1,algo,1.0,dan-christian,
dhoni,0,algo,1.0,ms-dhoni,
unadkat,1,algo,1.0,jaydev-unadkat,
dhoni,0,algo,1.0,ms-dhoni,
zampa,1,algo,1.0,adam-zampa,
christian,0,algo,1.0,dan-christian,
zampa,1,algo,1.0,adam-zampa,
smith,0,algo,1.0,steven-smith,
patel,1,algo,1.0,axar-patel,
yadav,0,no,1.0,,"umesh-yadav, kuldeep-yadav"
boult,1,algo,1.0,trent-boult,
narine,0,algo,1.0,sunil-narine,
rajpoot,1,algo,1.0,ankit-rajpoot,
kuldeep-yadav,1,algo,1.0,kuldeep-yadav,
boult,1,algo,1.0,trent-boult,
pathan,0,algo,1.0,yusuf-pathan,
southee,1,algo,1.0,tim-southee,
hh,0,list,1,hardik-pandya,
vinay-kumar,1,algo,1.0,vinay-kumar,
j-suchith,0,no,0.2916666666666667,,mitchell-johnson
johnson,1,algo,1.0,mitchell-johnson,
kv,0,no,0.3333333333333333,,karn-sharma
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
rg,0,no,0.3333333333333333,,karn-sharma
hh-pandya,1,algo,0.625,hardik-pandya,
j-suchith,0,no,0.2916666666666667,,mitchell-johnson
vinay-kumar,1,algo,1.0,vinay-kumar,
hh,0,list,1,hardik-pandya,
hh-pandya,1,algo,0.625,hardik-pandya,
southee,1,algo,1.0,tim-southee,
rayudu,0,algo,1.0,ambati-rayudu,
rashid-khan,1,algo,1.0,rashid-khan,
mohammed-siraj,1,algo,1.0,mohammed-siraj,
ojha,0,algo,1.0,naman-ojha,
mohammed-siraj,1,algo,1.0,mohammed-siraj,
dhawan,0,algo,1.0,shikhar-dhawan,
rashid-khan,1,algo,1.0,rashid-khan,
hooda,0,algo,1.0,deepak-hooda,
rashid-khan,1,algo,1.0,rashid-khan,
mohammed-siraj,1,algo,1.0,mohammed-siraj,
mohammed-siraj,1,algo,1.0,mohammed-siraj,
kaul,1,algo,1.0,siddarth-kaul,
kumar,1,algo,1.0,bhuvneshwar-kumar,
kumar,1,algo,1.0,bhuvneshwar-kumar,
kumar,1,algo,1.0,praveen-kumar,
faulkner,0,algo,1.0,james-faulkner,
kumar,1,algo,1.0,praveen-kumar,
karthik,0,algo,1.0,dinesh-karthik,
stokes,0,algo,1.0,ben-stokes,
stokes,1,algo,1.0,ben-stokes,
unadkat,0,algo,1.0,jaydev-unadkat,
unadkat,1,algo,1.0,jaydev-unadkat,
dhoni,0,algo,1.0,ms-dhoni,
zampa,1,algo,1.0,adam-zampa,
christian,0,algo,1.0,dan-christian,
christian,1,algo,1.0,dan-christian,
dhoni,0,algo,1.0,ms-dhoni,
washington-sundar,1,algo,1.0,washington-sundar,
stokes,1,algo,1.0,ben-stokes,
unadkat,1,algo,1.0,jaydev-unadkat,
stokes,0,algo,1.0,ben-stokes,
khan,1,algo,1.0,zaheer-khan,
khan,1,algo,1.0,zaheer-khan,
pant,0,algo,1.0,rishabh-pant,
nadeem,1,algo,1.0,shahbaz-nadeem,
cummins,1,algo,1.0,pat-cummins,
mohammed-shami,1,algo,1.0,mohammed-shami,
anderson,0,algo,1.0,corey-anderson,
mohammed-shami,0,algo,1.0,mohammed-shami,
mohammed-shami,1,algo,1.0,mohammed-shami,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
pandya,0,algo,1.0,hardik-pandya,
bumrah,1,algo,1.0,jasprit-bumrah,
mcclenaghan,1,algo,1.0,mitchell-mcclenaghan,
patel,0,algo,1.0,parthiv-patel,
maxwell,1,algo,1.0,glenn-maxwell,
guptill,0,algo,1.0,martin-guptill,
mm-sharma,1,algo,0.6428571428571428,mohit-sharma,
vohra,0,algo,1.0,manan-vohra,
patel,1,algo,1.0,axar-patel,
guptill,0,algo,1.0,martin-guptill,
tewatia,1,algo,1.0,rahul-tewatia,
guptill,0,algo,1.0,martin-guptill,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
saha,0,algo,1.0,wriddhiman-saha,
mm-sharma,1,algo,0.6428571428571428,mohit-sharma,
mishra,0,algo,1.0,amit-mishra,
mohammed-shami,0,algo,1.0,mohammed-shami,
mishra,1,algo,1.0,amit-mishra,
khan,0,algo,1.0,zaheer-khan,
cummins,1,algo,1.0,pat-cummins,
brathwaite,1,algo,1.0,carlos-brathwaite,
anderson,0,algo,1.0,corey-anderson,
mohammed-shami,1,algo,1.0,mohammed-shami,
sangwan,1,algo,1.0,pradeep-sangwan,
faulkner,1,algo,1.0,james-faulkner,
smith,0,algo,1.0,dwayne-smith,
raina,0,algo,1.0,suresh-raina,
basil-thampi,1,algo,1.0,basil-thampi,
jadeja,0,algo,1.0,ravindra-jadeja,
jadeja,0,algo,1.0,ravindra-jadeja,
kulkarni,1,algo,1.0,dhawal-kulkarni,
kulkarni,0,algo,1.0,dhawal-kulkarni,
faulkner,1,algo,1.0,james-faulkner,
smith,0,algo,1.0,dwayne-smith,
narine,1,algo,1.0,sunil-narine,
yadav,1,no,1.0,,"umesh-yadav, kuldeep-yadav"
uthappa,0,algo,1.0,robin-uthappa,
woakes,1,algo,1.0,chris-woakes,
kuldeep-yadav,1,algo,1.0,kuldeep-yadav,
kuldeep-yadav,1,algo,1.0,kuldeep-yadav,
woakes,0,algo,1.0,chris-woakes,
woakes,1,algo,1.0,chris-woakes,
sharma,1,no,1.0,,"mohit-sharma, sandeep-sharma"
patel,0,algo,1.0,axar-patel,
saha,0,algo,1.0,wriddhiman-saha,
tewatia,1,algo,1.0,rahul-tewatia,
marsh,0,algo,1.0,shaun-marsh,
tewatia,1,algo,1.0,rahul-tewatia,
patel,0,algo,1.0,axar-patel,
henry,1,algo,1.0,matt-henry,
patel,0,algo,1.0,axar-patel,
sharma,1,no,1.0,,"mohit-sharma, sandeep-sharma"
maxwell,0,algo,1.0,glenn-maxwell,
mohammad-nabi,1,algo,1.0,mohammad-nabi,
kaul,1,algo,1.0,siddarth-kaul,
warner,0,algo,1.0,david-warner,
kaul,1,algo,1.0,siddarth-kaul,
kumar,0,algo,1.0,bhuvneshwar-kumar,
kaul,1,algo,1.0,siddarth-kaul,
rashid-khan,1,algo,1.0,rashid-khan,
henriques,0,algo,1.0,moises-henriques,
kumar,1,algo,1.0,bhuvneshwar-kumar,
shankar,0,algo,1.0,vijay-shankar,
kumar,1,algo,1.0,bhuvneshwar-kumar,
ojha,0,algo,1.0,naman-ojha,
mcclenaghan,1,algo,1.0,mitchell-mcclenaghan,
bumrah,1,algo,1.0,jasprit-bumrah,
rg,0,no,0.3333333333333333,,"nitish-rana, karn-sharma"
malinga,1,algo,1.0,lasith-malinga,
pandya,0,algo,1.0,hardik-pandya,
sangwan,1,algo,1.0,pradeep-sangwan,
basil,0,algo,1.0,basil-thampi,
basil-thampi,1,algo,1.0,basil-thampi,
kulkarni,1,algo,1.0,dhawal-kulkarni,
finch,0,algo,1.0,aaron-finch,
maxwell,1,algo,1.0,glenn-maxwell,
guptill,0,algo,1.0,martin-guptill,
natarajan,1,algo,1.0,t-natarajan,
da-miller,0,no,0.3666666666666667,,hashim-amla
sandeep-sharma,1,algo,1.0,sandeep-sharma,
gurkeerat,0,algo,1.0,gurkeerat-singh-mann,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
saha,0,algo,1.0,wriddhiman-saha,
yadav,1,algo,1.0,umesh-yadav,
gambhir,0,algo,1.0,gautam-gambhir,
narine,1,algo,1.0,sunil-narine,
yadav,0,algo,1.0,umesh-yadav,
yadav,1,algo,1.0,umesh-yadav,
narine,1,algo,1.0,sunil-narine,
woakes,1,algo,1.0,chris-woakes,
yadav,0,algo,1.0,umesh-yadav,
yadav,1,algo,1.0,umesh-yadav,
lynn,0,algo,1.0,chris-lynn,
negi,1,algo,1.0,pawan-negi,
choudhary,1,algo,1.0,aniket-choudhary,
jadhav,0,algo,1.0,kedar-jadhav,
negi,1,algo,1.0,pawan-negi,
chahal,1,algo,1.0,yuzvendra-chahal,
negi,0,algo,1.0,pawan-negi,
anderson,1,algo,1.0,corey-anderson,
samuels,0,algo,1.0,marlon-samuels,
mishra,1,algo,1.0,amit-mishra,
rabada,1,algo,1.0,kagiso-rabada,
mishra,0,algo,1.0,amit-mishra,
mcclenaghan,1,algo,1.0,mitchell-mcclenaghan,
simmons,0,algo,1.0,lendl-simmons,
harbhajan-singh,1,algo,1.0,harbhajan-singh,
rg,0,no,0.3333333333333333,,"nitish-rana, karn-sharma"
malinga,1,algo,1.0,lasith-malinga,
harbhajan,0,algo,1.0,harbhajan-singh,
bumrah,1,algo,1.0,jasprit-bumrah,
simmons,0,algo,1.0,lendl-simmons,
malinga,1,algo,1.0,lasith-malinga,
kv,0,no,0.3333333333333333,,karn-sharma
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
rg,0,no,0.3333333333333333,,"nitish-rana, karn-sharma"
harbhajan-singh,1,algo,1.0,harbhajan-singh,
patel,0,algo,1.0,parthiv-patel,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
rg,0,no,0.3333333333333333,,"nitish-rana, karn-sharma"
harbhajan-singh,1,algo,1.0,harbhajan-singh,
pollard,0,algo,1.0,kieron-pollard,
kv-sharma,1,algo,0.6666666666666666,karn-sharma,
rana,0,algo,1.0,nitish-rana,
bipul-sharma,1,algo,1.0,bipul-sharma,
yuvraj,0,algo,1.0,yuvraj-singh,
bipul-sharma,0,algo,1.0,bipul-sharma,
kaul,1,algo,1.0,siddarth-kaul,
bipul,0,algo,1.0,bipul-sharma,
rashid-khan,1,algo,1.0,rashid-khan,
kaul,1,algo,1.0,siddarth-kaul,
ojha,0,algo,1.0,naman-ojha,
kaul,1,algo,1.0,siddarth-kaul,
rashid,0,algo,1.0,rashid-khan,
warner,0,algo,1.0,david-warner,
kumar,0,algo,1.0,bhuvneshwar-kumar,
kaul,1,algo,1.0,siddarth-kaul,
warner,0,algo,1.0,david-warner,
stokes,1,algo,1.0,ben-stokes,
thakur,0,algo,1.0,shardul-thakur,
stokes,1,algo,1.0,ben-stokes,
stokes,1,algo,1.0,ben-stokes,
dhoni,0,algo,1.0,ms-dhoni,
unadkat,1,algo,1.0,jaydev-unadkat,
tripathi,0,algo,1.0,rahul-tripathi,
imran-tahir,1,algo,1.0,imran-tahir,
unadkat,1,algo,1.0,jaydev-unadkat,
stokes,0,algo,1.0,ben-stokes,
unadkat,1,algo,1.0,jaydev-unadkat,
stokes,0,algo,1.0,ben-stokes,
unadkat,1,algo,1.0,jaydev-unadkat,
unadkat,0,algo,1.0,jaydev-unadkat,
unadkat,1,algo,1.0,jaydev-unadkat,
tiwary,0,algo,1.0,manoj-tiwary,
choudhary,1,algo,1.0,aniket-choudhary,
jadhav,0,algo,1.0,kedar-jadhav,
aravind,1,algo,1.0,sreenath-aravind,
negi,0,algo,1.0,pawan-negi,
negi,1,algo,1.0,pawan-negi,
mandeep,0,algo,1.0,mandeep-singh,
chahal,1,algo,1.0,yuzvendra-chahal,
de,0,algo,1.0,ab-de-villiers,
watson,1,algo,1.0,shane-watson,
chahal,1,algo,1.0,yuzvendra-chahal,
badree,0,algo,1.0,samuel-badree,
choudhary,1,algo,1.0,aniket-choudhary,
jadhav,0,algo,1.0,kedar-jadhav,
maxwell,1,algo,1.0,glenn-maxwell,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
guptill,0,algo,1.0,martin-guptill,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
sandeep-sharma,1,algo,1.0,sandeep-sharma,
saha,0,algo,1.0,wriddhiman-saha,
sharma,1,no,1.0,,"mohit-sharma, sandeep-sharma"
patel,0,algo,1.0,axar-patel,
patel,1,algo,1.0,axar-patel,
saha,0,algo,1.0,wriddhiman-saha,
patel,1,algo,1.0,axar-patel,
saha,0,algo,1.0,wriddhiman-saha,
maxwell,1,algo,1.0,glenn-maxwell,
patel,1,algo,1.0,axar-patel,
sharma,1,no,1.0,,"mohit-sharma, sandeep-sharma"
guptill,0,algo,1.0,martin-guptill,
nadeem,0,algo,1.0,shahbaz-nadeem,
rabada,1,algo,1.0,kagiso-rabada,
pant,0,algo,1.0,rishabh-pant,
rabada,0,algo,1.0,kagiso-rabada,
cummins,1,algo,1.0,pat-cummins,
anderson,0,algo,1.0,corey-anderson,
rabada,1,algo,1.0,kagiso-rabada,
pant,0,algo,1.0,rishabh-pant,
cummins,1,algo,1.0,pat-cummins,
